id,q1,q2,percentage,initial,exact_n0,num_generations,min_population,max_population,population_decrease_degree,min_granularity,max_granularity,granularity_increase_degree,seed,mutation_multiplier,crossover_multiplier,time,exponent,explicit_bound,n0,i
10,n**2+n,-n**2+n,0.5,1000.0,False,50,20,100,1.0,50,50,1.0,110,5,2,129179.467593,-1.510575532029076,,,0
4,n**5,-n**5,0.5,100.0,False,50,20,100,1.0,200,200,1.0,426,5,2,1284298.272308,-3.7673688379706114,,,0
3,n**2,-n**2,0.5,100.0,False,50,20,100,1.0,50,200,1.0,226,5,2,570786.839393,-1.732401988044153,,,0
2,n,-n,0.5,100.0,False,50,20,100,1.0,50,50,1.0,28,5,2,132593.359134,-0.9062466931978234,,,0
22,n**3/0.9999,-n**3/0.0001,0.9999,100000000.0,False,50,100,100,1.0,50,50,1.0,758,5,2,236713.628582,-0.5643750516125666,,,0
5,n,-n,0.5,10.0,False,50,100,100,1.0,50,50,1.0,628,5,2,215466.397352,-0.9061414940655139,,,0
9,n**2+20,-n**2+20,0.5,1000.0,False,50,100,100,1.0,50,50,1.0,668,5,2,237650.279659,-1.509734620078681,,,0
6,n,-n,0.5,1000.0,False,50,100,100,1.0,50,200,1.0,826,5,2,1211719.417207,-1.0428377551745256,,,0
7,n,-n,0.5,10000.0,False,50,100,100,1.0,200,200,1.0,1028,5,2,2007229.134582,-1.042250303357226,,,0
20,n**3/0.999,-n**3/0.001,0.999,100000000.0,False,50,100,100,1.0,200,200,1.0,1128,5,2,2119249.624261,-1.1958973548087877,,,0
8,n**2+2*n+20,-n**2+2*n+20,0.5,1000.0,False,50,20,100,1.0,200,200,1.0,466,5,2,1256790.626841,-1.7325737066147837,,,0
2,n,-n,0.5,100.0,False,50,100,100,1.0,50,200,1.0,784,5,2,1202050.868525,-1.0377566281405424,,,0
3,n**2,-n**2,0.5,100.0,False,50,100,100,1.0,200,200,1.0,982,5,2,1818792.915622,-1.7598287847886218,,,0
12,1000000*n,-1000000*n,0.5,100000000.0,False,50,20,100,1.0,200,200,1.0,508,5,2,1066375.050514,-1.0584912998851304,,,0
14,n**3/0.5,n**3/0.5,0.5,100000000.0,False,50,20,100,1.0,50,50,1.0,146,5,2,184548.54414,-2.1116027780976587,,,0
0,n**(1/4),-n**(1/4),0.5,100.0,False,50,20,100,1.0,200,200,1.0,390,5,2,1087306.854829,-0.5289025567434965,,,0
13,n**3,-n**3,0.5,100000000.0,False,50,100,100,1.0,50,50,1.0,706,5,2,266473.695493,-2.112560202072962,,,0
7,n,-n,0.5,10000.0,False,50,20,100,1.0,50,200,1.0,270,5,2,594349.983692,-1.0345011038837544,,,0
20,n**3/0.999,-n**3/0.001,0.999,100000000.0,False,50,20,100,1.0,50,200,1.0,370,5,2,680266.723316,-1.1789308594468675,,,0
16,n**3/0.9,-n**3/0.1,0.9,100000000.0,False,50,20,100,1.0,200,200,1.0,532,5,2,1159624.191109,-2.2821515586416785,,,0
11,n**3+1000000*n,-n**3-1000000*n,0.5,100000000.0,False,50,20,100,1.0,50,200,1.0,302,5,2,750105.775423,-2.4289070579708376,,,0
10,n**2+n,-n**2+n,0.5,1000.0,False,50,20,100,1.0,50,50,1.0,104,5,2,170320.687292,-1.5088665115343967,,,0
