id,q1,q2,percentage,initial,exact_n0,num_generations,min_population,max_population,population_decrease_degree,min_granularity,max_granularity,granularity_increase_degree,seed,mutation_multiplier,crossover_multiplier,time,exponent,explicit_bound,n0,i
10,n**2+n,-n**2+n,0.5,1000.0,False,50,100,100,1.0,400,400,1.0,1434,5,2,8878116.53448,-1.85506410155622,,,0
18,n**3/0.99,-n**3/0.01,0.99,100000000.0,False,50,100,100,1.0,50,50,1.0,732,5,2,262583.019036,-1.502366861693472,,,0
1,n**(1/2),-n**(1/2),0.5,100.0,False,50,100,100,1.0,200,200,1.0,970,5,2,1832213.388237,-0.7033854283659674,,,0
12,1000000*n,-1000000*n,0.5,100000000.0,True,50,100,100,1.0,400,400,1.0,1459,5,2,9640352.48363,-1.021635936171879,13189886.085778266,220001.2033194258,0
16,n**3/0.9,-n**3/0.1,0.9,100000000.0,False,50,100,100,1.0,200,200,1.0,1102,5,2,1812500.777074,-2.4446610573444683,,,0
7,n,-n,0.5,10000.0,True,50,20,100,1.0,50,200,1.0,267,5,2,643067.848962,-1.0085664491245523,1235599070.4633071,7650899.766054755,0
22,n**3/0.9999,-n**3/0.0001,0.9999,100000000.0,True,50,20,100,1.0,50,400,1.0,1901,5,2,1789096.153209,-0.8989592426694225,,,0
3,n**2,-n**2,0.5,100.0,False,50,100,100,1.0,50,50,1.0,604,5,2,217380.042672,-1.5111969732540602,,,0
12,1000000*n,-1000000*n,0.5,100000000.0,False,50,20,100,1.0,50,200,1.0,320,5,2,715251.292658,-1.0543229293763596,,,0
9,n**2+20,-n**2+20,0.5,1000.0,True,50,100,100,1.0,400,400,1.0,1427,5,2,9024360.827022,-1.1658526690826156,18854.97698982094,1953.5620299315724,0
5,n,-n,0.5,10.0,False,50,20,100,1.0,50,200,1.0,242,5,2,594283.865936,-1.0438155816065462,,,0
3,n**2,-n**2,0.5,100.0,True,50,20,100,1.0,50,200,1.0,225,5,2,608993.923321,-1.1753243543210121,19735.25078911711,2188.214067843094,0
11,n**3+1000000*n,-n**3-1000000*n,0.5,100000000.0,False,50,20,100,1.0,50,400,1.0,1826,5,2,1840331.642086,-2.562210654173816,,,0
7,n,-n,0.5,10000.0,False,50,100,100,1.0,50,50,1.0,646,5,2,220708.059419,-0.9068706944179085,,,0
5,n,-n,0.5,10.0,True,50,100,100,1.0,50,50,1.0,623,5,2,313939.671351,-0.904502619267561,,,0
4,n**5,-n**5,0.5,100.0,True,50,20,100,1.0,50,400,1.0,1761,5,2,1562126.509615,-1.4091222776509584,1528.8601165858217,302.4138397966605,0
9,n**2+20,-n**2+20,0.5,1000.0,False,50,100,100,1.0,200,200,1.0,1046,5,2,1974636.814408,-1.7532260919100826,,,0
